codigo,branet_codigo,branet_codigo_cliente,branet_nome,modificado_em,modificado_por
4150488,15054,9876,ABRIDOR DE BOCA TIPO EXPANDEX (ADULTO),24/09/2026,Caio César Borges de Oliveira
4150493,15055,9877,ABRIDOR DE BOCA TIPO EXPANDEX (INFANTIL),24/09/2026,Caio César Borges de Oliveira
4150479,10373,98991,ABRIDOR DE BOCA TIPO ABRITEC (INFANTIL),24/09/2026,Caio César Borges de Oliveira
4150483,13801,118937,ACIDO FOSFORICO 37% (PACOTE C/ 3 SERINGAS),24/09/2026,Caio César Borges de Oliveira
4150485,13098,10638,,24/09/2026,Caio César Borges de Oliveira
4150498,14365,11115,AGUA OXIGENADA 3% 10 VOLUMES 1L,24/09/2026,Caio César Borges de Oliveira
4150747,14898,11332,AGULHA HIPODERMICA 25X4 P/ ENDO (CEO),24/09/2026,Caio César Borges de Oliveira
4150748,14373,11339,AGULHA HIPODERMICA 30X4 P/ ENDO (CEO),24/09/2026,Caio César Borges de Oliveira
4150477,15210,11575,ALAVANCA INFANTIL (KIT C/ 3 PECAS),24/09/2026,Caio César Borges de Oliveira
4150782,15198,11591,,24/09/2026,Caio César Borges de Oliveira
4150783,15199,11592,,24/09/2026,Caio César Borges de Oliveira
4150784,15223,11501,,24/09/2026,Caio César Borges de Oliveira
4150781,15206,117522,ALAVANCA TIPO CANALETA RETA C/ RANHURAS,24/09/2026,Caio César Borges de Oliveira
4150786,15690,11536,"ALAVANCAS CRYER Nº 27, 28, 31 E 32 (CEO)",24/09/2026,Caio César Borges de Oliveira
4150787,15691,115571,ALAVANCAS POTT (KIT DIREITA E ESQUERDA),24/09/2026,Caio César Borges de Oliveira
4150749,14237,11900,,24/09/2026,Caio César Borges de Oliveira
4150480,11548,12385,,24/09/2026,Caio César Borges de Oliveira
4150513,11396,13142,"ANESTESICO INJ MEPIVACAINA 2% COM VASOC EPINEFRINA 1 100,000 (CX/ 50 TUBETES)",24/09/2026,Caio César Borges de Oliveira
4150508,14771,13129,ANESTESICO INJ ARTICAINA 4% C/ EPINEFRINA (CX/ 50 TUBETES),24/09/2026,Caio César Borges de Oliveira
4150788,14722,13974,,24/09/2026,Caio César Borges de Oliveira
4150789,15213,15422,ARCO DE OSTYB PLASTICO (CEO),24/09/2026,Caio César Borges de Oliveira
4150790,14882,14882,,24/09/2026,Caio César Borges de Oliveira
4150129,17655,17655,AVENTAL CIRURGICO DESCARTAVEL GRAMATURA 50 (UNIDADE),24/09/2026,Caio César Borges de Oliveira
4150481,15698,18315,,24/09/2026,Caio César Borges de Oliveira
4150793,15207,18760,BARRA DE EIRICH 20 CM P/ AMARRIA (CEO),24/09/2026,Caio César Borges de Oliveira
4150528,15019,18883,,24/09/2026,Caio César Borges de Oliveira
4150524,11170,118833,,24/09/2026,Caio César Borges de Oliveira
4150530,14236,19862,,24/09/2026,Caio César Borges de Oliveira
4150482,15699,19878,,24/09/2026,Caio César Borges de Oliveira
4150752,14374,22015,BORRACHA ABRASIVA MEDIA P/ PECA DE MAO,24/09/2026,Caio César Borges de Oliveira
4150484,14742,22136,,24/09/2026,Caio César Borges de Oliveira
4150753,14811,14811,,24/09/2026,Caio César Borges de Oliveira
4150754,14223,14223,,24/09/2026,Caio César Borges de Oliveira
4150561,15042,15042,BROCA AR CARBIDE 06 HL,24/09/2026,Caio César Borges de Oliveira
4150563,14281,22940,BROCA AR CARBIDE 08 HL,24/09/2026,Caio César Borges de Oliveira
4150548,14078,22941,BROCA AR CARBIDE 01,24/09/2026,Caio César Borges de Oliveira
4150553,14079,22944,BROCA AR CARBIDE 02,24/09/2026,Caio César Borges de Oliveira
4150556,10381,22946,BROCA AR CARBIDE 04,24/09/2026,Caio César Borges de Oliveira
