codigo,nome_descritivo,descritivo,unidade_compra,modificado_em,modificado_por
4150488,,,,,
4150493,,,,,
4150479,ABRIDOR DE BOCA TIPO ABRITEC INFANTIL,"Composição: 100% silicone. Possui bordas arredondadas. Dimensões: 30 x 25 x 18 mm.
 Indicação: auxiliar na abertura de boca do paciente, proporcionado maior conforto e facilitando o desempenho dos procedimentos odontológicos pelo profissional.
 Autoclavável.
 Apresentação: embalagem plástica com 2 unidades, com dados de identificação, lote, procedência, garantia, certificações (fabricado de acordo com padrões internacionais de qualidade, normas da ABNT) e registro na ANVISA.",Kit com 2 unidades,11/09/2026,Caio César Borges de Oliveira
4150483,ÁCIDO FOSFÓRICO 37%,"Composição: gel de base aquosa contendo ácido fosfórico a 37%. 
 Indicação: realização de condicionamento ácido total (dentina e esmalte) ou parcial (esmalte), proporcionando maior e melhor retenção de materiais resinosos.
 Apresentação: embalagem plástica lacrada contendo 3 seringas de 2,5 ml cada, com gel acondicionado, e 3 ponteiras. Contendo dados de identificação, lote, procedência, garantia, certificações (fabricado de acordo com padrões internacionais de qualidade, normas da ABNT) e registro na ANVISA.",Kit com 3 seringas,11/09/2026,Caio César Borges de Oliveira
4150485,ADESIVO DENTAL FOTOPOLIMERIZÁVEL,"Caracetrísticas: Adesivo dentário universal monocomponente fotopolimerizável, formulado com monômero funcional MDP (10-metacriloxidecil dihidrogeno fosfato) e silano incorporado. Apresenta compatibilidade com diversos substratos dentais, incluindo esmalte, dentina, cerâmicas e metais, garantindo adesão confiável em diferentes superfícies. Indicado para utilização nas técnicas autocondicionante, de condicionamento ácido seletivo ou de condicionamento total, conferindo versatilidade clínica e união de alto desempenho sem necessidade de primers adicionais. Apresentação: embalagem plástica com tampa flip-flop, contendo 5 ml do produto. Com dados de identificação, lote, procedência, garantia, certificações (fabricado de acordo com padrões internacionais de qualidade, normas da ABNT) e registro na ANVISA.",Frasco,11/09/2026,Caio César Borges de Oliveira
4150498,ÁGUA OXIGENADA 10 VOLUMES,"Composição: peróxido de hidrogênio 3%, água purificada, fenacetina, ácido fosfórico.
 Indicação: bochecho, como auxiliar na profilaxia bucal.
 Apresentação: embalagem plástica contendo 1 litro do produto, rótulo com dados de identificação, lote, procedência, garantia, certificações (fabricado de acordo com padrões internacionais de qualidade, normas da ABNT) e registro na ANVISA.",Embalagem,11/09/2026,Caio César Borges de Oliveira
4150500,AGULHA GENGIVAL CURTA,"Características: agulha descartável siliconizada tamanho 30 G, bisel trifacetado, parte ativa com 21 mm, estéril, proteção individual com lacre de segurança. Fabricada de acordo com a Norma ISO 13485, com rosca interna universal de segurança para uso em todas as marcas de seringa carpule. Cânula firmemente ligada ao canhão, proporcionando uma fixação segura, sem vazamentos. Tubo da agulha em aço inoxidável de uso para a fabricação de dispositivos médicos conforme definido nas normas aplicáveis. 
 Indicação: anestesias infiltrativas em Odontologia.
 Apresentação: embalagem contendo 100 unidades, com dados de identificação, validade, lote, procedência e rastreabilidade, responsável técnico, garantia, certificações (fabricado de acordo com padrões internacionais de qualidade, normas da ABNT) e registro na ANVISA.",Caixa com 100 unidades,11/09/2026,Caio César Borges de Oliveira
4150502,AGULHA GENGIVAL EXTRA CURTA,"Características: agulha descartável siliconizada tamanho 30 G, parte ativa com 15 mm, indicada em Odontopediatria, bisel trifacetado, Estéril, proteção individual com lacre de segurança. Fabricada de acordo com a Norma ISO 13485, com rosca interna universal de segurança para uso em todas as marcas de seringa carpule. Cânula firmemente ligada ao canhão, proporcionando uma fixação segura, sem vazamentos. Tubo da agulha em aço inoxidável de uso para a fabricação de dispositivos médicos conforme definido nas normas aplicáveis. 
 Indicação: anestesias infiltrativas em Odontologia.
 Apresentação: embalagem contendo 100 unidades, com dados de identificação, validade, lote, procedência e rastreabilidade, responsável técnico, garantia, certificações (fabricado de acordo com padrões internacionais de qualidade, normas da ABNT) e registro na ANVISA.",Caixa com 100 unidades,11/09/2026,Caio César Borges de Oliveira
4150747,,,,,
4150748,,,,,
