codigo,material,unidade,grupo,subgrupo,acesso,tipo,especialidade,familia,imagem,observacao,ativo
4150488,ABRIDOR DE BOCA EXPANDEX ADULTO,U - Unidade,13,Odontologia,TODOS,Consumo,"Odontopediatria;Cirurgia",Auxiliares de abertura,4150488.jpg,,SIM
4150493,ABRIDOR DE BOCA EXPANDEX INFANTIL,U - Unidade,13,Odontologia,TODOS,Consumo,Odontopediatria,Auxiliares de abertura,4150493.jpg,,SIM
4150479,ABRITEC INFANTIL (COM 2 UNIDADES),U - Unidade,13,Odontologia,TODOS,Consumo,Odontopediatria,Auxiliares de abertura,4150479.jpg,,SIM
4150483,ÁCIDO GEL CONDICIONADOR DE DENTINA E ESMALTE (PACOTE COM 3 SERINGAS),PC - Pacote,13,Odontologia,TODOS,Consumo,Dentística,Adesivos e condicionadores,4150483.jpg,,SIM
4150485,ADESIVO DENTAL FOTOPOLIMERIZÁVEL,U - Unidade,13,Odontologia,TODOS,Consumo,Dentística,Adesivos e condicionadores,4150485.jpg,,SIM
4150498,ÁGUA OXIGENADA 3% 10 VOLUMES (FRASCO 1L),FR - Frasco,13,Odontologia,TODOS,Consumo,Biossegurança,Descartáveis e barreiras,4150498.jpg,,SIM
4150500,AGULHA GENGIVAL CURTA 30 G DESCARTÁVEL (CAIXA COM 100 UNIDADES),CA - Caixa,13,Odontologia,TODOS,Consumo,Anestesia,Anestesia,4150500.jpg,,SIM
4150502,AGULHA GENGIVAL EXTRA CURTA 30 G DESCARTÁVEL (CAIXA COM 100 UNIDADES),CA - Caixa,13,Odontologia,TODOS,Consumo,Anestesia,Anestesia,4150502.jpg,,SIM
4150747,AGULHA HIPODÉRMICA 25 x 4 PARA ENDODONTIA,U - Unidade,15,CEO,CEO,Consumo,Endodontia,Irrigação e aspiração,4150747.jpg,,SIM
4150748,AGULHA HIPODÉRMICA 30 x 4 PARA ENDODONTIA,U - Unidade,15,CEO,CEO,Consumo,Endodontia,Irrigação e aspiração,4150748.jpg,,SIM
4150477,ALAVANCA INFANTIL (KIT COM 3 PEÇAS),KI - Kit,12,Odontologia Instrumental,TODOS,Instrumental,"Cirurgia;Odontopediatria",Alavancas,4150477.jpg,,SIM
4150478,ALAVANCA SELDIN (KIT COM 3 PEÇAS),KI - Kit,12,Odontologia Instrumental,TODOS,Instrumental,Cirurgia,Alavancas,4150478.jpg,,SIM
4150782,ALAVANCA TIPO APEXO Nº 301,U - Unidade,14,CEO Instrumental,CEO,Instrumental,Cirurgia,Alavancas,4150782.jpg,,SIM
4150783,ALAVANCA TIPO APEXO Nº 303,U - Unidade,14,CEO Instrumental,CEO,Instrumental,Cirurgia,Alavancas,4150783.jpg,,SIM
4150784,ALAVANCA TIPO APEXO Nº 304,U - Unidade,14,CEO Instrumental,CEO,Instrumental,Cirurgia,Alavancas,4150784.jpg,,SIM
4150781,ALAVANCA TIPO CANALETA RETA COM RANHURAS,U - Unidade,14,CEO Instrumental,CEO,Instrumental,Cirurgia,Alavancas,4150781.jpg,,SIM
4150785,ALAVANCA TIPO SELDIN COM CURVATURA E RANHURAS,U - Unidade,14,CEO Instrumental,CEO,Instrumental,Cirurgia,Alavancas,4150785.jpg,,SIM
4150786,"ALAVANCAS CRYER Nº 27, 28, 31 E 32",U - Unidade,14,CEO Instrumental,CEO,Instrumental,Cirurgia,Alavancas,4150786.jpg,,SIM
4150787,ALAVANCAS DE POTT,U - Unidade,14,CEO Instrumental,CEO,Instrumental,Cirurgia,Alavancas,4150787.jpg,,SIM
4150749,ALGINATO HIDROCOLÓIDE DE PRESA NORMAL (PRÓTESE) - 453G,U - Unidade,15,CEO,CEO,Consumo,Prótese,Materiais de moldagem,4150749.jpg,,SIM
4150480,ALVEOLOTOMO,U - Unidade,12,Odontologia Instrumental,TODOS,Instrumental,Cirurgia,Instrumental cirúrgico,4150480.jpg,,SIM
4150513,ANESTÉSICO INJ MEPIVACAÍNA 2% COM VASOC EPINEFRINA 1:100.000 (CAIXA COM 50 TUBETES),CA - Caixa,13,Odontologia,TODOS,Consumo,Anestesia,Anestesia,4150513.jpg,,SIM
4150508,ANESTÉSICO INJETÁVEL ARTICAÍNA 4% COM EPINEFRINA (CAIXA COM 50 TUBETES),CA - Caixa,13,Odontologia,TODOS,Consumo,Anestesia,Anestesia,4150508.jpg,,SIM
4150511,ANESTÉSICO INJETÁVEL LIDOCAÍNA COM EPINEFRINA 1:100.000 (CAIXA COM 50 TUBETES),CA - Caixa,13,Odontologia,TODOS,Consumo,Anestesia,Anestesia,4150511.jpg,,SIM
